Auction Date,Auction Name,Lot Title,Estimate Low,Estimate High,Description,Main Image URL,Artist Name
Geneva Auction 11 November 2024,The Geneva Jewels Auction: THREE,Diamond bracelet,"32,000","50,000",https://www.phillips.com/detail/marzo/CH060424/389,https://assets.phillips.com/image/upload/t_Website_CuratedAuction_SingleCell_NoPad_dev2/v1728579203/auctions/CH060424/209697_001.jpg,Marzo
Geneva Auction 11 November 2024,The Geneva Jewels Auction: THREE,"Diamond bracelet, 1920s","10,000","15,000",https://www.phillips.com/detail/CH060424/390,https://assets.phillips.com/image/upload/t_Website_CuratedAuction_SingleCell_NoPad_dev2/v1728579169/auctions/CH060424/206840_001.jpg,N/A
Geneva Auction 11 November 2024,The Geneva Jewels Auction: THREE,"Sapphire and diamond ring, 'Trombino'","400,000","500,000",https://www.phillips.com/detail/bulgari/CH060424/391,https://assets.phillips.com/image/upload/t_Website_CuratedAuction_SingleCell_NoPad_dev2/v1728579186/auctions/CH060424/207663_001.jpg,Bulgari
Geneva Auction 11 November 2024,The Geneva Jewels Auction: THREE,"Gold, mother-of-pearl and diamond wristwatch, 'Serpenti'","13,000","22,000",https://www.phillips.com/detail/bulgari/CH060424/392,https://assets.phillips.com/image/upload/t_Website_CuratedAuction_SingleCell_NoPad_dev2/v1728579152/auctions/CH060424/193797_001.jpg,Bulgari
Geneva Auction 11 November 2024,The Geneva Jewels Auction: THREE,Sapphire and diamond bracelet,"500,000","850,000",https://www.phillips.com/detail/CH060424/393,https://assets.phillips.com/image/upload/t_Website_CuratedAuction_SingleCell_NoPad_dev2/v1728659351/auctions/CH060424/209692_001.jpg,N/A
Geneva Auction 11 November 2024,The Geneva Jewels Auction: THREE,Sapphire and diamond ring,"110,000","150,000",https://www.phillips.com/detail/CH060424/394,https://assets.phillips.com/image/upload/t_Website_CuratedAuction_SingleCell_NoPad_dev2/v1728579207/auctions/CH060424/210005_001.jpg,N/A
Geneva Auction 11 November 2024,The Geneva Jewels Auction: THREE,Mesmerising Fancy Dark Grey-Blue diamond ring,"680,000","850,000",https://www.phillips.com/detail/CH060424/395,https://assets.phillips.com/image/upload/t_Website_CuratedAuction_SingleCell_NoPad_dev2/v1728579169/auctions/CH060424/206706_001.jpg,N/A
Geneva Auction 11 November 2024,The Geneva Jewels Auction: THREE,Important Fancy Intense Yellow diamond ring,"850,000","1,290,000",https://www.phillips.com/detail/CH060424/396,https://assets.phillips.com/image/upload/t_Website_CuratedAuction_SingleCell_NoPad_dev2/v1728579183/auctions/CH060424/207293_001.jpg,N/A
Geneva Auction 11 November 2024,The Geneva Jewels Auction: THREE,Pair of emerald and diamond ear clips,"340,000","500,000",https://www.phillips.com/detail/van-cleef-arpels/CH060424/397,https://assets.phillips.com/image/upload/t_Website_CuratedAuction_SingleCell_NoPad_dev2/v1728978898/auctions/CH060424/209691_001.jpg,Van Cleef & Arpels
Geneva Auction 11 November 2024,The Geneva Jewels Auction: THREE,Emerald and diamond brooch,"32,000","50,000",https://www.phillips.com/detail/CH060424/398,https://assets.phillips.com/image/upload/t_Website_CuratedAuction_SingleCell_NoPad_dev2/v1729011570/auctions/CH060424/206869_001.jpg,N/A
Geneva Auction 11 November 2024,The Geneva Jewels Auction: THREE,"Diamond jabot pin, circa 1926","75,000","100,000",https://www.phillips.com/detail/cartier/CH060424/399,https://assets.phillips.com/image/upload/t_Website_CuratedAuction_SingleCell_NoPad_dev2/v1729674575/auctions/CH060424/208210_001.jpg,Cartier
Geneva Auction 11 November 2024,The Geneva Jewels Auction: THREE,"Diamond bracelet, circa 1924","85,000","130,000",https://www.phillips.com/detail/cartier/CH060424/400,https://assets.phillips.com/image/upload/t_Website_CuratedAuction_SingleCell_NoPad_dev2/v1728659332/auctions/CH060424/207437_001.jpg,Cartier
Geneva Auction 11 November 2024,The Geneva Jewels Auction: THREE,"Very fine emerald and diamond ring, 1920s","500,000","700,000",https://www.phillips.com/detail/cartier/CH060424/401,https://assets.phillips.com/image/upload/t_Website_CuratedAuction_SingleCell_NoPad_dev2/v1728579178/auctions/CH060424/207066_001.jpg,Cartier
Geneva Auction 11 November 2024,The Geneva Jewels Auction: THREE,"Pair of emerald and diamond ear clips, circa 1927","26,000","42,000",https://www.phillips.com/detail/chaumet/CH060424/402,https://assets.phillips.com/image/upload/t_Website_CuratedAuction_SingleCell_NoPad_dev2/v1728579189/auctions/CH060424/208208_001.jpg,Chaumet
Geneva Auction 11 November 2024,The Geneva Jewels Auction: THREE,"Diamond bracelet, 1920s","14,000","17,000",https://www.phillips.com/detail/tiffany-co/CH060424/403,https://assets.phillips.com/image/upload/t_Website_CuratedAuction_SingleCell_NoPad_dev2/v1728579222/auctions/CH060424/210160_001.jpg,Tiffany & Co.
Geneva Auction 11 November 2024,The Geneva Jewels Auction: THREE,Important emerald ring,"650,000","850,000",https://www.phillips.com/detail/CH060424/404,https://assets.phillips.com/image/upload/t_Website_CuratedAuction_SingleCell_NoPad_dev2/v1728579198/auctions/CH060424/209519_001.jpg,N/A
Geneva Auction 11 November 2024,The Geneva Jewels Auction: THREE,Fancy Deep Brownish Yellow diamond ring,"30,000","38,000",https://www.phillips.com/detail/CH060424/405,https://assets.phillips.com/image/upload/t_Website_CuratedAuction_SingleCell_NoPad_dev2/v1728579168/auctions/CH060424/206710_001.jpg,N/A
Geneva Auction 11 November 2024,The Geneva Jewels Auction: THREE,"Citrine, turquoise and diamond necklace, circa 1960","85,000","130,000",https://www.phillips.com/detail/monture-cartier/CH060424/406,https://assets.phillips.com/image/upload/t_Website_CuratedAuction_SingleCell_NoPad_dev2/v1728659347/auctions/CH060424/209690_001.jpg,Monture Cartier
Geneva Auction 11 November 2024,The Geneva Jewels Auction: THREE,Sapphire and diamond ring,"85,000","130,000",https://www.phillips.com/detail/schlumberger-for-tiffany-co/CH060424/407,https://assets.phillips.com/image/upload/t_Website_CuratedAuction_SingleCell_NoPad_dev2/v1728579223/auctions/CH060424/210727_001.jpg,Schlumberger for Tiffany & Co.
Geneva Auction 11 November 2024,The Geneva Jewels Auction: THREE,Fancy Vivid Yellow diamond ring,"40,000","50,000",https://www.phillips.com/detail/CH060424/408,https://assets.phillips.com/image/upload/t_Website_CuratedAuction_SingleCell_NoPad_dev2/v1728579194/auctions/CH060424/209051_001.jpg,N/A
Geneva Auction 11 November 2024,The Geneva Jewels Auction: THREE,N/A,N/A,N/A,N/A,N/A,N/A
Geneva Auction 11 November 2024,The Geneva Jewels Auction: THREE,Fine Fancy Intense Pink diamond ring,"1,770,000","2,970,000",https://www.phillips.com/detail/CH060424/410,https://assets.phillips.com/image/upload/t_Website_CuratedAuction_SingleCell_NoPad_dev2/v1728579222/auctions/CH060424/210590_001.jpg,N/A
Geneva Auction 11 November 2024,The Geneva Jewels Auction: THREE,Exceptional ruby and diamond ring,"4,100,000","4,800,000",https://www.phillips.com/detail/CH060424/411,https://assets.phillips.com/image/upload/t_Website_CuratedAuction_SingleCell_NoPad_dev2/v1728659360/auctions/CH060424/209881_001.jpg,N/A
Geneva Auction 11 November 2024,The Geneva Jewels Auction: THREE,Fancy Intense Blue diamond ring,"250,000","420,000",https://www.phillips.com/detail/CH060424/412,https://assets.phillips.com/image/upload/t_Website_CuratedAuction_SingleCell_NoPad_dev2/v1728579188/auctions/CH060424/207665_001.jpg,N/A
Geneva Auction 11 November 2024,The Geneva Jewels Auction: THREE,"'The Red Miracle,' Rare Fancy Red diamond ring","420,000","680,000",https://www.phillips.com/detail/CH060424/413,https://assets.phillips.com/image/upload/t_Website_CuratedAuction_SingleCell_NoPad_dev2/v1728579153/auctions/CH060424/198536_001.jpg,N/A
